Client,Project,User,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,Total
,learn web dev.,Jmmhalley,,00:17:41,,,,,,00:17:41
,,Jmmhalley,,05:33:28,07:08:41,03:28:52,,,,16:11:01
Total:,,,,05:51:09,07:08:41,03:28:52,,,,16:28:42
